t,x,y
0.000000e0,1.013857e-1,-1.041047e0
3.333333e-2,1.247424e-1,-9.908289e-1
6.666667e-2,1.243016e-1,-1.002602e0
1.000000e-1,1.244963e-1,-1.002940e0
1.333333e-1,1.218363e-1,-1.000118e0
1.666667e-1,1.214520e-1,-1.000060e0
2.000000e-1,1.164496e-1,-1.002096e0
2.333333e-1,1.209257e-1,-1.016679e0
2.666667e-1,1.121910e-1,-1.024836e0
3.000000e-1,1.289342e-1,-1.026616e0
3.333333e-1,1.302945e-1,-1.022328e0
3.666667e-1,1.281708e-1,-1.020535e0
4.000000e-1,1.325735e-1,-1.015667e0
4.333333e-1,1.335518e-1,-1.015011e0
4.666667e-1,1.288670e-1,-1.011732e0
5.000000e-1,1.323696e-1,-1.009988e0
5.333333e-1,1.255382e-1,-1.011843e0
5.666667e-1,1.252346e-1,-1.011018e0
6.000000e-1,1.271118e-1,-1.010204e0
6.333333e-1,1.237014e-1,-1.009941e0
6.666667e-1,1.196671e-1,-1.011484e0
7.000000e-1,1.190529e-1,-1.010118e0
7.333333e-1,1.296717e-1,-1.006889e0
7.666667e-1,1.239643e-1,-1.008986e0
8.000000e-1,1.208339e-1,-1.007701e0
8.333333e-1,1.161442e-1,-1.006085e0
8.666667e-1,1.206440e-1,-1.007321e0
9.000000e-1,1.220834e-1,-1.007843e0
9.333333e-1,1.225389e-1,-1.008284e0
9.666667e-1,1.198300e-1,-1.007674e0
1.000000e0,1.199017e-1,-1.009843e0
1.033333e0,1.217715e-1,-1.010738e0
1.066667e0,1.220242e-1,-1.003009e0
1.100000e0,1.246848e-1,-1.006902e0
1.133333e0,1.220536e-1,-1.007538e0
1.166667e0,1.174358e-1,-1.009246e0
1.200000e0,1.170994e-1,-1.007932e0
1.233333e0,1.172295e-1,-1.006419e0
1.266667e0,1.173636e-1,-1.006130e0
1.300000e0,1.205917e-1,-1.003623e0
1.333333e0,1.169201e-1,-1.004128e0
1.366667e0,1.214616e-1,-1.003567e0
1.400000e0,1.168853e-1,-1.004003e0
1.433333e0,1.170934e-1,-1.004127e0
1.466667e0,1.179242e-1,-1.005067e0
1.500000e0,1.184438e-1,-1.008278e0
1.533333e0,1.181122e-1,-1.011005e0
1.566667e0,1.267853e-1,-1.024523e0
1.600000e0,1.190600e-1,-1.001462e0
1.633333e0,1.231912e-1,-1.007340e0
1.666667e0,1.148185e-1,-1.006167e0
1.700000e0,1.109544e-1,-1.009075e0
1.733333e0,1.193797e-1,-1.005049e0
1.766667e0,1.142862e-1,-1.003332e0
1.800000e0,1.153659e-1,-9.985267e-1
1.833333e0,1.168956e-1,-1.000635e0
1.866667e0,1.212770e-1,-1.002026e0
1.900000e0,1.212115e-1,-1.004045e0
1.933333e0,1.153182e-1,-9.962786e-1
1.966667e0,1.116081e-1,-1.002497e0
2.000000e0,1.153944e-1,-9.960180e-1
2.033333e0,1.229740e-1,-9.886054e-1
2.066667e0,1.249224e-1,-9.903186e-1
2.100000e0,1.269523e-1,-9.931948e-1
2.133333e0,7.175419e-2,-9.752368e-1
2.166667e0,-5.234147e-1,-9.280200e-1
2.200000e0,-8.200216e-1,-9.212629e-1
