t,x,y
0.000000e0,-5.877598e-1,-8.904006e-1
3.333333e-2,3.153924e-1,-1.017208e0
6.666667e-2,-1.445353e-1,-1.050284e0
1.000000e-1,-6.414500e-2,-1.130685e0
1.333333e-1,2.911543e-1,-1.125220e0
1.666667e-1,3.262360e-2,-1.140535e0
2.000000e-1,2.007603e-1,-1.139483e0
2.333333e-1,-5.726220e-1,-1.129376e0
2.666667e-1,-2.545335e0,-9.706885e-1
3.000000e-1,-3.526384e0,-8.655025e-1
3.333333e-1,-4.151990e0,-1.018179e0
3.666667e-1,-4.067925e0,-9.685459e-1
4.000000e-1,-4.479478e0,-9.871319e-1
4.333333e-1,-4.834465e0,-9.658608e-1
4.666667e-1,-4.458533e0,-8.768884e-1
5.000000e-1,-4.631216e0,-9.374477e-1
5.333333e-1,-4.997216e0,-9.312076e-1
5.666667e-1,-4.903141e0,-9.320135e-1
6.000000e-1,-4.946312e0,-9.281512e-1
6.333333e-1,-5.206271e0,-9.740994e-1
6.666667e-1,-5.394226e0,-1.063536e0
7.000000e-1,-4.985439e0,-9.471227e-1
7.333333e-1,-3.020157e0,-1.046285e0
7.666667e-1,3.213541e-1,-1.092676e0
8.000000e-1,3.507003e0,-1.494785e0
8.333333e-1,7.756848e0,-1.977896e0
8.666667e-1,1.150014e1,-1.607609e0
9.000000e-1,1.372790e1,-2.081186e0
9.333333e-1,1.400803e1,-3.717604e0
9.666667e-1,1.337662e1,-3.411378e0
1.000000e0,1.221634e1,-3.118922e0
1.033333e0,1.252257e1,-3.107013e0
1.066667e0,1.299622e1,-3.155558e0
1.100000e0,1.276484e1,-3.031538e0
1.133333e0,1.298543e1,-3.129433e0
1.166667e0,1.298755e1,-3.068092e0
1.200000e0,1.298495e1,-3.076589e0
1.233333e0,1.277295e1,-3.101846e0
1.266667e0,1.150827e1,-3.015467e0
1.300000e0,1.009160e1,-2.674641e0
1.333333e0,8.715665e0,-2.759711e0
1.366667e0,8.518410e0,-2.436909e0
1.400000e0,7.629195e0,-2.287197e0
1.433333e0,7.489082e0,-2.177131e0
1.466667e0,6.847936e0,-2.247075e0
1.500000e0,6.613640e0,-2.129609e0
1.533333e0,7.131357e0,-2.149230e0
1.566667e0,7.977501e0,-2.093472e0
1.600000e0,6.977504e0,-2.110760e0
1.633333e0,7.026565e0,-2.092324e0
1.666667e0,7.905477e0,-2.083300e0
1.700000e0,7.271357e0,-2.188595e0
1.733333e0,7.246057e0,-2.474448e0
1.766667e0,1.249635e1,-3.069502e0
1.800000e0,1.685881e1,-4.519880e0
1.833333e0,2.112442e1,-5.016028e0
1.866667e0,2.503663e1,-3.615317e0
1.900000e0,2.709099e1,-4.023281e0
1.933333e0,2.801582e1,-5.603305e0
1.966667e0,2.723573e1,-5.281533e0
2.000000e0,2.693759e1,-5.001202e0
2.033333e0,2.709773e1,-5.014198e0
2.066667e0,2.736212e1,-5.030797e0
2.100000e0,2.743041e1,-5.038472e0
2.133333e0,2.753492e1,-5.069509e0
2.166667e0,2.752754e1,-5.052201e0
