t,x,vx
0.000000e0,4.838456e-1,0.000000e0
3.333333e-2,-4.220000e0,-2.895140e1
6.666667e-2,-1.446248e0,7.048197e1
1.000000e-1,4.787979e-1,4.980498e1
1.333333e-1,1.874084e0,3.358293e1
1.666667e-1,2.717660e0,1.741409e1
2.000000e-1,3.035023e0,8.943737e0
2.333333e-1,3.313909e0,5.125501e0
2.666667e-1,3.376723e0,2.506254e0
3.000000e-1,3.480992e0,1.701279e0
3.333333e-1,3.490142e0,8.187137e-1
3.666667e-1,3.535573e0,-1.356234e-2
4.000000e-1,3.489238e0,-1.189325e0
4.333333e-1,3.456285e0,-2.951954e0
4.666667e-1,3.292441e0,-5.370954e0
5.000000e-1,3.098221e0,-2.690683e0
5.333333e-1,3.113062e0,3.446365e-1
5.666667e-1,3.121197e0,1.510001e-1
6.000000e-1,3.123128e0,9.899514e-2
6.333333e-1,3.127797e0,5.259836e-2
6.666667e-1,3.126635e0,2.218273e-2
7.000000e-1,3.129276e0,1.411666e-1
7.333333e-1,3.136046e0,1.594756e-1
7.666667e-1,3.139907e0,-1.285892e-1
8.000000e-1,3.127473e0,-2.729085e-1
8.333333e-1,3.121713e0,-8.271323e-2
8.666667e-1,3.121959e0,5.380807e-2
9.000000e-1,3.125301e0,1.719051e0
9.333333e-1,3.236563e0,3.831464e1
9.666667e-1,5.679610e0,8.121357e1
1.000000e0,8.650801e0,1.064796e2
1.033333e0,1.277825e1,1.109711e2
1.066667e0,1.604887e1,8.020991e1
1.100000e0,1.812558e1,5.837866e1
1.133333e0,1.994078e1,4.270472e1
1.166667e0,2.097256e1,2.417980e1
1.200000e0,2.155277e1,1.437746e1
1.233333e0,2.193105e1,7.575842e0
1.266667e0,2.205782e1,3.551395e0
1.300000e0,2.216781e1,2.717121e0
1.333333e0,2.223897e1,2.522368e0
1.366667e0,2.233597e1,1.648051e0
1.400000e0,2.234884e1,4.196030e-1
1.433333e0,2.236395e1,-8.779393e-1
1.466667e0,2.229031e1,-6.232440e0
1.500000e0,2.194845e1,-6.972908e0
1.533333e0,2.182545e1,-2.076254e0
1.566667e0,2.181003e1,-3.860590e-1
1.600000e0,2.179971e1,-2.199203e-1
1.633333e0,2.179537e1,-1.182631e-1
1.666667e0,2.179182e1,-1.025152e-1
1.700000e0,2.178854e1,-9.392131e-2
1.733333e0,2.178556e1,-4.617714e-2
1.766667e0,2.178546e1,-4.104966e-2
1.800000e0,2.178283e1,-6.001084e-2
1.833333e0,2.178146e1,-1.120864e-1
1.866667e0,2.177535e1,-2.019325e-1
1.900000e0,2.176800e1,-1.137148e-1
1.933333e0,2.176777e1,2.323950e1
1.966667e0,2.331730e1,6.599935e1
2.000000e0,2.616773e1,1.006534e2
2.033333e0,3.002752e1,1.163798e2
2.066667e0,3.392638e1,9.269839e1
2.100000e0,3.620741e1,6.370409e1
2.133333e0,3.817332e1,4.930490e1
2.166667e0,3.949441e1,2.989846e1
