t,x,vx
0.000000e0,0.000000e0,0.000000e0
3.335223e-2,5.393053e-3,-8.207115e-2
6.670445e-2,-5.471410e-3,-1.624578e-1
1.000567e-1,-5.437464e-3,4.709884e-2
1.334089e-1,-2.331487e-3,3.853326e-2
1.667611e-1,-2.868580e-3,2.544101e-1
2.001134e-1,1.462919e-2,2.307282e-1
2.334656e-1,1.251330e-2,-1.711590e-2
2.668178e-1,1.348813e-2,-1.371752e-2
3.001700e-1,1.159879e-2,-3.064712e-2
3.335223e-1,1.144498e-2,-2.936479e0
3.668745e-1,-1.841665e-1,-2.982114e0
4.002267e-1,-1.873626e-1,-1.142702e-1
4.335789e-1,-1.917845e-1,2.708579e-1
4.669312e-1,-1.693054e-1,6.780861e-1
5.002834e-1,-1.465788e-1,5.442844e-1
5.336356e-1,-1.330198e-1,3.728000e-1
5.669878e-1,-1.217254e-1,2.271020e-1
6.003401e-1,-1.178797e-1,-2.591593e-3
6.336923e-1,-1.218982e-1,-5.826167e-2
6.670445e-1,-1.217638e-1,-8.588908e-3
7.003967e-1,-1.224708e-1,4.778888e-2
7.337490e-1,-1.185779e-1,1.574794e-1
7.671012e-1,-1.119722e-1,1.737077e-1
8.004534e-1,-1.069974e-1,3.632516e0
8.338056e-1,1.301956e-1,4.057803e1
8.671579e-1,2.598204e0,8.772848e1
9.005101e-1,5.978761e0,1.121429e2
9.338623e-1,1.007440e1,1.050730e2
9.672145e-1,1.298363e1,7.397651e1
1.000567e0,1.500617e1,5.878922e1
1.033919e0,1.690291e1,4.174146e1
1.067271e0,1.778893e1,2.225914e1
1.100623e0,1.838685e1,1.317382e1
1.133976e0,1.866719e1,6.047299e0
1.167328e0,1.879001e1,1.693219e0
1.200680e0,1.878007e1,-3.052094e-1
1.234032e0,1.876966e1,-2.698740e-1
1.267385e0,1.876208e1,-3.091972e-1
1.300737e0,1.874905e1,-6.960869e-1
1.334089e0,1.871567e1,-1.533032e0
1.367441e0,1.864685e1,-5.175012e0
1.400793e0,1.837067e1,-5.906503e0
1.434146e0,1.825308e1,-2.062864e0
1.467498e0,1.823315e1,-1.980863e0
1.500850e0,1.812102e1,-1.656717e0
1.534202e0,1.812270e1,5.992134e-2
1.567555e0,1.812512e1,6.237745e-2
1.600907e0,1.812696e1,-7.047720e-2
1.634259e0,1.812042e1,-1.193871e-1
1.667611e0,1.811900e1,-1.365123e-1
1.700963e0,1.811132e1,-7.713462e-2
1.734316e0,1.811386e1,6.488948e-2
1.767668e0,1.811564e1,7.042909e-2
1.801020e0,1.811855e1,7.059052e-2
1.834372e0,1.812035e1,3.084953e1
1.867725e0,2.017519e1,7.129654e1
1.901077e0,2.287345e1,9.927003e1
1.934429e0,2.679319e1,1.139836e2
1.967781e0,3.047236e1,8.976602e1
2.001134e0,3.277759e1,6.305258e1
2.034486e0,3.467586e1,4.948441e1
2.067838e0,3.607655e1,3.065851e1
2.101190e0,3.671976e1,1.593985e1
2.134542e0,3.713921e1,9.211951e0
2.167895e0,3.733389e1,3.662214e0
2.201247e0,3.738336e1,3.330835e0
2.234599e0,3.755595e1,3.354738e0
2.267951e0,3.760701e1,1.287330e0
2.301304e0,3.764177e1,8.906875e-1
2.334656e0,3.766639e1,-1.636358e-1
2.368008e0,3.763086e1,-4.462226e0
2.401360e0,3.736890e1,-7.372055e0
2.434712e0,3.713939e1,-4.518198e0
2.468065e0,3.706769e1,-1.817203e0
2.501417e0,3.701824e1,-7.057163e-1
2.534769e0,3.702064e1,6.663580e-2
2.568121e0,3.702269e1,4.764654e-2
2.601474e0,3.702382e1,6.064336e-2
2.634826e0,3.702673e1,1.497417e-1
2.668178e0,3.703380e1,1.920278e-1
2.701530e0,3.703953e1,1.327003e-1
2.734882e0,3.704265e1,-2.923000e-2
2.768235e0,3.703758e1,-5.859482e-2
2.801587e0,3.703874e1,1.225120e-1
2.834939e0,3.704575e1,1.522951e1
2.868291e0,3.805404e1,5.473818e1
2.901644e0,4.069496e1,8.893088e1
2.934996e0,4.398277e1,1.085592e2
2.968348e0,4.793224e1,1.045978e2
3.001700e0,5.095595e1,7.148569e1
3.035052e0,5.269795e1,5.351708e1
3.068405e0,5.452376e1,4.278506e1
3.101757e0,5.555029e1,2.009821e1
3.135109e0,5.586364e1,9.318131e0
3.168461e0,5.617150e1,7.154540e0
3.201814e0,5.634061e1,2.630973e0
3.235166e0,5.634690e1,2.695947e-1
