t,x,vx
3.333333e-2,5.227221e-1,0.000000e0
6.666667e-2,5.189920e-1,-2.365784e-1
1.000000e-1,5.069502e-1,-2.230676e0
1.333333e-1,3.702802e-1,-4.526045e0
1.666667e-1,2.052138e-1,-8.752493e0
2.000000e-1,-2.132193e-1,-1.856879e1
2.333333e-1,-1.032705e0,-1.651603e1
2.666667e-1,-1.314288e0,-6.831122e0
3.000000e-1,-1.488113e0,-5.439474e0
3.333333e-1,-1.676920e0,3.960992e1
3.666667e-1,1.152548e0,9.246520e1
4.000000e-1,4.487427e0,1.066060e2
4.333333e-1,8.259615e0,1.029779e2
4.666667e-1,1.135262e1,6.892866e1
5.000000e-1,1.285486e1,5.639455e1
5.333333e-1,1.511226e1,5.227294e1
5.666667e-1,1.633972e1,2.225017e1
6.000000e-1,1.659560e1,7.503347e0
6.333333e-1,1.683994e1,3.840017e0
6.666667e-1,1.685160e1,1.888574e0
7.000000e-1,1.696585e1,1.998708e0
7.333333e-1,1.698485e1,-2.339029e-1
7.666667e-1,1.695026e1,-3.332335e-2
8.000000e-1,1.698263e1,4.652034e-1
8.333333e-1,1.698127e1,-3.391640e-1
8.666667e-1,1.696002e1,-5.033919e-1
9.000000e-1,1.694771e1,-5.286290e0
9.333333e-1,1.660760e1,-5.248160e0
9.666667e-1,1.659783e1,-4.331794e-1
1.000000e0,1.657872e1,-6.916511e-1
1.033333e0,1.655172e1,-4.036324e0
1.066667e0,1.630963e1,-3.116673e0
1.100000e0,1.634394e1,2.338467e-1
1.133333e0,1.632522e1,-5.713624e-1
1.166667e0,1.630585e1,-1.267025e0
1.200000e0,1.624075e1,-1.870088e0
1.233333e0,1.618118e1,-3.160824e0
1.266667e0,1.603003e1,-4.365475e0
1.300000e0,1.589015e1,-5.144062e0
1.333333e0,1.568709e1,5.882440e0
1.366667e0,1.628231e1,6.036820e1
1.400000e0,1.971164e1,1.035675e2
1.433333e0,2.318681e1,1.161159e2
1.466667e0,2.745270e1,9.870942e1
1.500000e0,2.976744e1,6.932937e1
1.533333e0,3.207466e1,5.662516e1
1.566667e0,3.354245e1,3.539298e1
1.600000e0,3.443419e1,2.074791e1
1.633333e0,3.492565e1,8.083270e0
1.666667e0,3.497307e1,6.046771e-1
1.700000e0,3.496596e1,-1.407133e0
1.733333e0,3.487926e1,-1.022083e0
1.766667e0,3.489782e1,3.921476e-1
1.800000e0,3.490541e1,-2.205136e-1
1.833333e0,3.488312e1,-3.224292e-1
1.866667e0,3.488391e1,-7.208777e-1
1.900000e0,3.483506e1,-9.387547e0
1.933333e0,3.425808e1,-1.124978e1
1.966667e0,3.408508e1,-4.103858e0
2.000000e0,3.398449e1,-1.930190e0
2.033333e0,3.395640e1,-1.689148e-1
2.066667e0,3.397322e1,-5.299854e-3
2.100000e0,3.395604e1,-8.850573e-1
2.133333e0,3.391422e1,-7.359525e-1
2.166667e0,3.390698e1,-8.689001e-1
2.200000e0,3.385629e1,-2.041751e0
2.233333e0,3.377086e1,-3.160041e0
2.266667e0,3.364562e1,-2.985734e0
2.300000e0,3.357181e1,-8.669233e-1
2.333333e0,3.358783e1,1.623694e0
2.366667e0,3.368006e1,4.342720e1
2.400000e0,3.648298e1,9.220646e1
2.433333e0,3.982716e1,1.081920e2
2.466667e0,4.369577e1,9.950310e1
2.500000e0,4.646070e1,7.406003e1
2.533333e0,4.863311e1,5.877115e1
2.566667e0,5.037877e1,4.195459e1
2.600000e0,5.143008e1,2.324362e1
2.633333e0,5.192835e1,1.190557e1
2.666667e0,5.222379e1,5.480796e0
2.700000e0,5.229373e1,1.766841e0
2.733333e0,5.234158e1,6.781027e-1
2.766667e0,5.233894e1,-7.480512e-1
2.800000e0,5.229171e1,-9.835602e-1
2.833333e0,5.227337e1,-1.234910e-1
2.866667e0,5.228347e1,-8.150906e-1
2.900000e0,5.221903e1,-4.725920e0
2.933333e0,5.196841e1,-1.216118e1
2.966667e0,5.140829e1,-1.366620e1
3.000000e0,5.105733e1,-1.275015e1
3.033333e0,5.055828e1,-1.325298e1
3.066667e0,5.017380e1,-1.545413e1
3.100000e0,4.952800e1,-2.552591e1
3.133333e0,4.847207e1,-3.069522e1
3.166667e0,4.748165e1,-3.044124e1
3.200000e0,4.644266e1,-2.920882e1
3.233333e0,4.553440e1,-2.792795e1
3.266667e0,4.458079e1,-2.787598e1
3.300000e0,4.367600e1,-2.580672e1
3.333333e0,4.286034e1,-2.146640e1
3.366667e0,4.224491e1,1.478725e1
3.400000e0,4.384616e1,1.076554e2
3.433333e0,4.942193e1,1.443228e2
3.466667e0,5.346768e1,1.009233e2
3.500000e0,5.615015e1,7.920507e1
3.533333e0,5.874802e1,6.608894e1
3.566667e0,6.055608e1,4.425992e1
3.600000e0,6.169868e1,2.643916e1
3.633333e0,6.231869e1,1.510667e1
3.666667e0,6.270579e1,7.929906e0
3.700000e0,6.284735e1,4.964772e0
3.733333e0,6.303678e1,3.022630e0
3.766667e0,6.304886e1,-2.215397e-1
3.800000e0,6.302201e1,-4.678072e-2
3.833333e0,6.304574e1,1.361612e-2
3.866667e0,6.302292e1,-4.035306e-1
3.900000e0,6.301884e1,-4.355339e0
3.933333e0,6.273256e1,-1.196795e1
3.966667e0,6.222097e1,-1.248806e1
4.000000e0,6.190002e1,-6.493170e0
4.033333e0,6.178810e1,-2.889244e0
4.066667e0,6.170741e1,-7.789199e-1
4.100000e0,6.173617e1,9.096448e-2
4.133333e0,6.171347e1,-1.422501e0
4.166667e0,6.164133e1,-4.334721e0
4.200000e0,6.142449e1,-7.074909e0
4.233333e0,6.116967e1,-5.036543e0
4.266667e0,6.108872e1,-7.956865e-1
4.300000e0,6.111663e1,-4.836389e-1
4.333333e0,6.105648e1,-2.387421e0
4.366667e0,6.095747e1,1.038811e1
