t,x,vx
0.000000e0,4.846686e-1,0.000000e0
3.335106e-2,-3.190513e0,-2.383917e1
6.670213e-2,-1.104609e0,5.498614e1
1.000532e-1,4.752294e-1,3.681206e1
1.334043e-1,1.349528e0,2.039934e1
1.667553e-1,1.835185e0,1.067084e1
2.001064e-1,2.060918e0,4.843493e0
2.334574e-1,2.158085e0,1.186414e0
2.668085e-1,2.140012e0,-4.625177e-1
3.001596e-1,2.127250e0,-6.161540e-1
3.335106e-1,2.098935e0,-6.854962e-1
3.668617e-1,2.081550e0,-5.390501e-1
4.002128e-1,2.062998e0,-3.148826e0
4.335638e-1,1.871629e0,-9.077326e0
4.669149e-1,1.457843e0,-9.047698e0
5.002660e-1,1.268449e0,-2.064720e0
5.336170e-1,1.320195e0,1.274078e0
5.669681e-1,1.353387e0,8.974813e-1
6.003191e-1,1.380027e0,7.318662e-1
6.336702e-1,1.402178e0,5.295771e-1
6.670213e-1,1.415333e0,3.698896e-1
7.003723e-1,1.426838e0,2.927851e-1
7.337234e-1,1.434852e0,2.461687e-1
7.670745e-1,1.443249e0,7.040968e-2
8.004255e-1,1.439546e0,-7.061050e-2
8.337766e-1,1.438542e0,3.546015e-1
8.671277e-1,1.463186e0,6.886483e-1
9.004787e-1,1.484452e0,4.087782e1
9.338298e-1,4.188374e0,8.596698e1
9.671809e-1,7.215584e0,1.021601e2
1.000532e0,1.099905e1,1.079745e2
1.033883e0,1.441388e1,8.696320e1
1.067234e0,1.679660e1,6.351436e1
1.100585e0,1.864817e1,4.562418e1
1.133936e0,1.983821e1,2.734026e1
1.167287e0,2.047086e1,1.507159e1
1.200638e0,2.084298e1,7.936889e0
1.233989e0,2.099998e1,2.364068e0
1.267340e0,2.100059e1,3.481351e-1
1.300691e0,2.102319e1,1.896631e-1
1.334043e0,2.101323e1,-4.891280e-1
1.367394e0,2.099058e1,-6.205740e-1
1.400745e0,2.097186e1,-6.327220e-1
1.434096e0,2.094840e1,-7.160308e0
1.467447e0,2.049450e1,-9.282383e0
1.500798e0,2.032958e1,-2.352989e0
1.534149e0,2.033764e1,3.842301e-1
1.567500e0,2.035583e1,3.222057e-1
1.600851e0,2.035966e1,1.342797e-1
1.634202e0,2.036478e1,1.163100e-1
1.667553e0,2.036741e1,7.849978e-2
1.700904e0,2.037002e1,1.161415e-1
1.734255e0,2.037515e1,3.994908e-2
1.767606e0,2.037268e1,-1.127101e-2
1.800957e0,2.037440e1,4.796770e-2
1.834309e0,2.037588e1,3.314604e-2
1.867660e0,2.037661e1,2.520566e-2
1.901011e0,2.037756e1,2.536361e1
1.934362e0,2.206752e1,7.122276e1
1.967713e0,2.512574e1,1.006940e2
2.001064e0,2.878045e1,1.101299e2
2.034415e0,3.246774e1,9.100841e1
2.067766e0,3.484768e1,6.708158e1
2.101117e0,3.693984e1,5.241864e1
2.134468e0,3.834225e1,3.409223e1
2.167819e0,3.921266e1,2.072657e1
2.201170e0,3.972402e1,1.099811e1
2.234521e0,3.994587e1,5.260411e0
2.267872e0,4.007472e1,2.737784e0
2.301223e0,4.012838e1,2.526632e0
2.334574e0,4.024316e1,2.372031e0
