t,x,vx
0.000000e0,1.133393e0,0.000000e0
3.334997e-2,1.438042e0,4.803173e0
6.669994e-2,1.453605e0,-3.640758e0
1.000499e-1,1.195325e0,-7.886653e-1
1.333999e-1,1.401027e0,-5.500022e0
1.667499e-1,8.286568e-1,-8.142456e0
2.000998e-1,8.581966e-1,-1.004608e0
2.334498e-1,7.616829e-1,-4.588210e0
2.667998e-1,5.523159e-1,3.182317e-1
3.001498e-1,7.828984e-1,-7.342323e0
3.334997e-1,6.282777e-2,-1.535018e1
3.668497e-1,-2.404467e-1,2.785213e1
4.001997e-1,1.919636e0,6.216540e1
4.335496e-1,3.903913e0,6.497633e1
4.668996e-1,6.251391e0,9.256243e1
5.002496e-1,1.007474e1,1.263792e2
5.335996e-1,1.467667e1,1.237929e2
5.669495e-1,1.832760e1,6.330347e1
6.002995e-1,1.889691e1,-2.994105e1
6.336495e-1,1.633153e1,-6.788582e1
6.669994e-1,1.437118e1,-8.307487e0
7.003494e-1,1.577770e1,2.119914e1
7.336994e-1,1.578446e1,1.531019e0
7.670494e-1,1.587977e1,1.739037e0
8.003993e-1,1.590040e1,5.889269e-1
8.337493e-1,1.591903e1,2.143935e-1
8.670993e-1,1.591469e1,-1.474391e0
9.004493e-1,1.582074e1,-1.363747e1
9.337992e-1,1.500552e1,-2.478896e1
9.671492e-1,1.416814e1,-1.855914e1
1.000499e0,1.376825e1,-1.283525e1
1.033849e0,1.331245e1,-1.988815e1
1.067199e0,1.244237e1,-1.266196e1
1.100549e0,1.246832e1,7.323244e0
1.133899e0,1.293059e1,-3.928042e0
1.167249e0,1.220645e1,-8.545743e0
1.200599e0,1.236087e1,1.054343e0
1.233949e0,1.227674e1,-1.289207e1
1.267299e0,1.150140e1,-2.880987e1
1.300649e0,1.035609e1,-2.839241e1
1.333999e0,9.608573e0,-1.986349e1
1.367349e0,9.031854e0,-3.595193e0
1.400699e0,9.368894e0,6.425999e1
1.434049e0,1.331585e1,7.145318e1
1.467399e0,1.413244e1,1.562582e1
1.500749e0,1.435757e1,7.058093e1
1.534099e0,1.883783e1,1.440639e2
1.567449e0,2.420194e1,1.313062e2
1.600799e0,2.781042e1,3.219568e1
1.634149e0,2.634832e1,-7.782550e1
1.667499e0,2.262206e1,-2.626896e1
1.700849e0,2.459705e1,3.129263e1
1.734199e0,2.470823e1,1.793790e0
1.767549e0,2.471664e1,-3.199168e-2
1.800899e0,2.470610e1,-2.842197e-1
1.834248e0,2.469769e1,-8.914827e-2
1.867598e0,2.470016e1,1.112112e-1
1.900948e0,2.470511e1,-6.622782e0
1.934298e0,2.425864e1,-1.568125e1
1.967648e0,2.365969e1,-1.737191e1
2.000998e0,2.310051e1,-1.759765e1
2.034348e0,2.248651e1,-1.725280e1
2.067698e0,2.195032e1,-2.087955e1
2.101048e0,2.109454e1,-1.910244e1
2.134398e0,2.067683e1,8.468208e-1
2.167748e0,2.115100e1,7.027532e0
2.201098e0,2.114533e1,1.680144e0
2.234448e0,2.126301e1,3.681292e0
2.267798e0,2.139075e1,-1.085624e1
2.301148e0,2.053926e1,-1.276508e1
2.334498e0,2.053974e1,9.427980e0
2.367848e0,2.116779e1,-4.598198e0
2.401198e0,2.023320e1,3.139137e1
2.434548e0,2.326055e1,1.037503e2
2.467898e0,2.714989e1,1.176263e2
2.501248e0,3.110230e1,1.195864e2
2.534598e0,3.512231e1,1.059427e2
2.567948e0,3.816515e1,6.624483e1
2.601298e0,3.953863e1,-1.459094e1
2.634648e0,3.719242e1,-3.259794e1
2.667998e0,3.736544e1,1.680726e1
2.701348e0,3.831291e1,1.153840e1
2.734698e0,3.813466e1,-2.558913e0
2.768048e0,3.814231e1,1.021444e0
2.801398e0,3.820276e1,3.006632e-1
2.834748e0,3.816236e1,-4.366857e-1
2.868098e0,3.817365e1,6.067323e-2
2.901448e0,3.816640e1,-3.939601e0
2.934798e0,3.791101e1,-1.696683e1
2.968148e0,3.703528e1,-2.574941e1
3.001498e0,3.619438e1,-2.073195e1
3.034847e0,3.565315e1,-1.763728e1
3.068197e0,3.501856e1,-1.839532e1
3.101547e0,3.442679e1,-8.659504e0
3.134897e0,3.444126e1,-2.191289e0
3.168247e0,3.428071e1,-2.887034e1
3.201597e0,3.251657e1,-4.368645e1
3.234947e0,3.136828e1,-2.620939e1
3.268297e0,3.076928e1,-1.717619e1
3.301647e0,3.022320e1,-2.227316e1
3.334997e0,2.928440e1,-2.686138e1
3.368347e0,2.843244e1,-2.775124e1
3.401697e0,2.743432e1,7.981678e0
3.435047e0,2.896455e1,9.213518e1
3.468397e0,3.357667e1,9.350758e1
3.501747e0,3.519839e1,4.021915e1
3.535097e0,3.625794e1,5.123584e1
3.568447e0,3.861411e1,8.550270e1
3.601797e0,4.195812e1,8.485336e1
3.635147e0,4.427100e1,3.131904e1
3.668497e0,4.404606e1,-2.415101e1
3.701847e0,4.266094e1,-3.478186e1
3.735197e0,4.172727e1,-3.159388e0
3.768547e0,4.245031e1,1.757530e1
3.801897e0,4.289895e1,1.303898e0
3.835247e0,4.253724e1,-6.276960e0
3.868597e0,4.248049e1,2.151226e0
3.901947e0,4.268065e1,1.236096e0
3.935297e0,4.256290e1,-2.590174e1
3.968647e0,4.095387e1,-4.094183e1
4.001997e0,3.983344e1,-2.668479e1
4.035347e0,3.917488e1,-1.606371e1
4.068697e0,3.876253e1,-1.428153e1
4.102047e0,3.822278e1,-2.014308e1
4.135397e0,3.741966e1,-1.071760e1
4.168747e0,3.750827e1,-1.753217e0
4.202097e0,3.730277e1,-2.185695e1
4.235446e0,3.605114e1,-3.240343e1
4.268796e0,3.514255e1,-2.300699e1
4.302146e0,3.451734e1,-2.447524e1
4.335496e0,3.351086e1,-3.042471e1
4.368846e0,3.248903e1,-3.020409e1
4.402196e0,3.149726e1,-1.366189e1
4.435546e0,3.157824e1,7.261544e1
4.468896e0,3.633829e1,1.153581e2
4.502246e0,3.926878e1,5.449213e1
4.535596e0,3.997109e1,4.247827e1
4.568946e0,4.210066e1,1.040521e2
4.602296e0,4.690790e1,1.180445e2
4.635646e0,4.997029e1,7.315325e1
4.668996e0,5.190671e1,3.654817e0
4.702346e0,5.022004e1,-8.376247e1
4.735696e0,4.632254e1,-2.887305e1
4.769046e0,4.829517e1,2.567654e1
4.802396e0,4.803431e1,-1.101898e1
4.835746e0,4.756057e1,-1.663163e0
4.869096e0,4.792343e1,-2.960439e-1
4.902446e0,4.754083e1,-4.507485e0
