t,x,y
0.000000e0,4.159021e-1,-1.215439e0
3.333333e-2,-1.679352e0,-1.138956e0
6.666667e-2,-5.390707e0,-9.771112e-1
1.000000e-1,-9.441308e0,-8.432589e-1
1.333333e-1,-1.130792e1,-5.046849e-1
1.666667e-1,-1.226667e1,-4.761077e-1
2.000000e-1,-1.337296e1,-2.877989e-1
2.333333e-1,-1.470698e1,1.484270e-1
2.666667e-1,-1.573091e1,1.639759e-1
3.000000e-1,-1.629729e1,2.660107e-1
3.333333e-1,-1.672072e1,3.721872e-1
3.666667e-1,-1.728960e1,3.495850e-1
4.000000e-1,-1.813736e1,2.910211e-1
4.333333e-1,-1.922556e1,3.496223e-1
4.666667e-1,-2.066382e1,5.888143e-1
5.000000e-1,-2.060421e1,4.499066e-1
5.333333e-1,-1.477923e1,8.177377e-1
5.666667e-1,-1.329020e1,1.029625e0
6.000000e-1,-1.134614e1,6.291949e-1
6.333333e-1,-5.841460e0,-2.187102e-1
6.666667e-1,1.914620e0,-1.818674e0
7.000000e-1,7.306288e0,-1.791934e0
7.333333e-1,7.408577e0,-1.762940e0
7.666667e-1,5.265018e0,-1.809142e0
8.000000e-1,2.967612e0,-1.751567e0
8.333333e-1,3.340786e0,-1.512195e0
8.666667e-1,4.859686e0,-1.709729e0
9.000000e-1,6.214928e0,-1.612441e0
9.333333e-1,6.751271e0,-1.714676e0
9.666667e-1,6.211141e0,-1.746335e0
1.000000e0,4.956486e0,-1.723214e0
1.033333e0,3.476746e0,-1.769652e0
1.066667e0,5.762445e-1,-1.622060e0
1.100000e0,-3.837647e0,-1.186811e0
1.133333e0,-8.022229e0,-8.304123e-1
1.166667e0,-8.691884e0,-8.349335e-1
1.200000e0,-9.767905e0,-7.042227e-1
1.233333e0,-1.056088e1,-6.947551e-1
1.266667e0,-1.127428e1,-7.355844e-1
1.300000e0,-1.186367e1,-9.142725e-1
1.333333e0,-1.256900e1,-1.221434e0
1.366667e0,-1.349315e1,-1.145491e0
1.400000e0,-1.422631e1,-1.110766e0
1.433333e0,-1.470144e1,-1.492555e0
1.466667e0,-1.583176e1,-1.825563e0
1.500000e0,-1.696564e1,-2.177606e0
1.533333e0,-1.169799e1,-1.612465e0
1.566667e0,-9.061856e0,-1.378396e0
1.600000e0,-8.269429e0,-1.744519e0
1.633333e0,-4.417072e0,-1.526107e0
1.666667e0,2.296805e0,-2.044732e0
1.700000e0,8.422106e0,-2.338351e0
1.733333e0,1.103758e1,-2.831596e0
1.766667e0,1.083483e1,-2.836314e0
1.800000e0,8.874777e0,-2.805428e0
1.833333e0,7.381772e0,-2.498799e0
1.866667e0,7.335270e0,-2.428305e0
1.900000e0,7.898031e0,-2.545632e0
1.933333e0,8.847837e0,-2.550161e0
1.966667e0,9.836567e0,-2.764514e0
2.000000e0,1.024301e1,-2.712974e0
2.033333e0,8.863472e0,-2.778312e0
2.066667e0,5.903914e0,-2.375379e0
2.100000e0,1.512561e0,-1.878426e0
2.133333e0,-2.548083e0,-1.099418e0
2.166667e0,-4.964119e0,-1.155946e0
2.200000e0,-6.341863e0,-1.264552e0
2.233333e0,-7.538411e0,-1.179645e0
2.266667e0,-8.392103e0,-8.994473e-1
2.300000e0,-9.315455e0,-9.213331e-1
2.333333e0,-9.863268e0,-9.423666e-1
2.366667e0,-1.075993e1,-9.877516e-1
2.400000e0,-1.132410e1,-9.094395e-1
2.433333e0,-1.179661e1,-9.503551e-1
2.466667e0,-1.228900e1,-9.387482e-1
2.500000e0,-1.273885e1,-9.948583e-1
2.533333e0,-9.834751e0,-1.001362e0
2.566667e0,-7.425550e0,-5.207363e-1
2.600000e0,-7.028739e0,-9.323551e-1
2.633333e0,-3.067196e0,-8.185724e-1
2.666667e0,2.769033e0,-1.453413e0
2.700000e0,9.630694e0,-1.833579e0
2.733333e0,1.314472e1,-2.363603e0
2.766667e0,1.226519e1,-3.814153e0
2.800000e0,8.315089e0,-4.301653e0
2.833333e0,5.395921e0,-2.015705e0
2.866667e0,4.921147e0,-1.375256e0
2.900000e0,6.417858e0,-2.341565e0
2.933333e0,7.391876e0,-2.005992e0
2.966667e0,6.852793e0,-1.980179e0
3.000000e0,6.258090e0,-1.921646e0
3.033333e0,5.920411e0,-1.941607e0
3.066667e0,4.904248e0,-1.860077e0
3.100000e0,1.937579e0,-1.518757e0
3.133333e0,1.959312e-1,-1.433843e0
3.166667e0,-1.131358e0,-1.324138e0
3.200000e0,-1.747533e0,-1.359493e0
3.233333e0,-1.967478e0,-1.425691e0
3.266667e0,-3.543599e0,-1.546308e0
3.300000e0,-5.382504e0,-1.464992e0
3.333333e0,-6.367556e0,-1.407237e0
3.366667e0,-6.873007e0,-1.359781e0
3.400000e0,-7.458260e0,-1.341744e0
3.433333e0,-8.436093e0,-1.153755e0
3.466667e0,-9.624811e0,-1.143709e0
3.500000e0,-1.036697e1,-9.555026e-1
3.533333e0,-9.799490e0,-9.327933e-1
3.566667e0,-3.965992e0,-4.662916e-1
3.600000e0,-3.476334e0,-1.280699e0
3.633333e0,-2.061614e0,-1.311554e0
3.666667e0,1.795096e0,-1.985664e0
3.700000e0,7.827969e0,-3.471574e0
3.733333e0,1.315147e1,-2.918691e0
3.766667e0,1.426504e1,-2.889531e0
3.800000e0,1.320869e1,-2.921814e0
3.833333e0,1.223716e1,-2.570799e0
3.866667e0,1.213034e1,-2.678911e0
3.900000e0,1.261770e1,-2.726960e0
3.933333e0,1.327924e1,-2.819156e0
3.966667e0,1.373240e1,-2.795028e0
4.000000e0,1.330402e1,-2.831408e0
4.033333e0,1.280522e1,-2.832849e0
4.066667e0,1.172775e1,-2.660732e0
4.100000e0,8.841816e0,-2.285743e0
4.133333e0,4.754008e0,-1.664256e0
4.166667e0,1.944648e0,-1.732714e0
4.200000e0,1.362969e0,-1.599400e0
4.233333e0,-1.354106e-2,-1.585421e0
4.266667e0,-9.688445e-1,-1.510778e0
4.300000e0,-1.968633e0,-1.638064e0
4.333333e0,-3.423852e0,-1.982845e0
4.366667e0,-4.926797e0,-1.806641e0
4.400000e0,-5.999909e0,-1.824623e0
4.433333e0,-6.995871e0,-2.476657e0
4.466667e0,-7.931919e0,-2.410048e0
4.500000e0,-8.794653e0,-2.400100e0
4.533333e0,-9.512666e0,-2.642639e0
4.566667e0,-5.407743e0,-2.829921e0
4.600000e0,-1.001264e0,-1.457177e0
4.633333e0,-1.391647e-3,-2.353593e0
4.666667e0,3.302243e0,-2.279130e0
4.700000e0,9.807705e0,-3.402393e0
4.733333e0,1.683181e1,-4.791373e0
4.766667e0,2.017710e1,-5.335963e0
4.800000e0,1.964553e1,-2.891338e0
4.833333e0,1.521621e1,-1.908208e0
4.866667e0,1.131970e1,-4.221895e0
4.900000e0,1.215478e1,-3.415642e0
4.933333e0,1.363313e1,-3.317884e0
4.966667e0,1.464050e1,-3.708297e0
