t,x,vx
0.000000e0,4.491412e-1,0.000000e0
3.335087e-2,-5.517280e0,-8.915152e1
6.670173e-2,-5.494294e0,1.874573e0
1.000526e-1,-5.392309e0,4.146572e0
1.334035e-1,-5.217856e0,2.371109e0
1.667543e-1,-5.234235e0,-1.172333e0
2.001052e-1,-5.296011e0,-1.481646e0
2.334561e-1,-5.333011e0,-8.603451e0
2.668069e-1,-5.869574e0,-3.823317e1
3.001578e-1,-7.881889e0,-5.943517e1
3.335087e-1,-9.831919e0,-4.005536e1
3.668595e-1,-1.055225e1,-2.373265e1
4.002104e-1,-1.141410e1,-2.522862e1
4.335613e-1,-1.223415e1,-2.438214e1
4.669121e-1,-1.303957e1,-1.953250e1
5.002630e-1,-1.353632e1,-1.090497e1
5.336139e-1,-1.376657e1,-5.742871e0
5.669647e-1,-1.391918e1,-1.050284e0
6.003156e-1,-1.383659e1,-1.029075e1
6.336665e-1,-1.460523e1,-1.835707e1
6.670173e-1,-1.506039e1,-1.196709e1
7.003682e-1,-1.540304e1,-5.823215e0
7.337191e-1,-1.544861e1,3.443669e1
7.670700e-1,-1.310726e1,5.285386e1
8.004208e-1,-1.192502e1,1.687727e1
8.337717e-1,-1.198211e1,3.333763e1
8.671226e-1,-9.702507e0,8.009869e1
9.004734e-1,-6.642192e0,1.022044e2
9.338243e-1,-2.888879e0,9.262848e1
9.671752e-1,-4.669607e-1,3.981302e1
1.000526e0,-2.346778e-1,-1.358858e1
1.033877e0,-1.372866e0,-2.643462e1
1.067228e0,-1.996986e0,-2.645142e0
1.100579e0,-1.549209e0,1.374233e1
1.133929e0,-1.080831e0,1.313519e1
1.167280e0,-6.735295e-1,4.105394e0
1.200631e0,-8.071378e-1,-7.447979e0
1.233982e0,-1.170061e0,-8.065561e0
1.267333e0,-1.344842e0,-1.761539e1
1.300684e0,-2.344420e0,-5.865279e1
1.334035e0,-5.255028e0,-7.944523e1
1.367386e0,-7.640769e0,-4.369503e1
1.400736e0,-8.168030e0,-1.764484e1
1.434087e0,-8.817092e0,-1.732686e1
1.467438e0,-9.323154e0,-2.074413e1
1.500789e0,-1.020003e1,-2.273147e1
1.534140e0,-1.083859e1,-1.663636e1
1.567491e0,-1.133685e1,-1.736278e1
1.600842e0,-1.202504e1,-1.910760e1
1.634193e0,-1.261069e1,-2.128265e1
1.667543e0,-1.344389e1,-2.996440e1
1.700894e0,-1.460832e1,-3.955097e1
1.734245e0,-1.608062e1,-2.290598e1
1.767596e0,-1.613538e1,6.302229e1
1.800947e0,-1.187913e1,1.055949e2
1.834298e0,-9.095724e0,4.861812e1
1.867649e0,-8.637923e0,4.339932e1
1.900999e0,-6.202436e0,1.037358e2
1.934350e0,-1.722202e0,1.182025e2
1.967701e0,1.677728e0,5.829137e1
2.001052e0,2.163889e0,-2.008098e1
2.034403e0,3.389957e-1,-4.952671e1
2.067754e0,-1.137892e0,-1.782839e1
2.101105e0,-8.495637e-1,2.413841e1
2.134456e0,4.713357e-1,2.094370e1
2.167806e0,5.466828e-1,-1.045754e1
2.201157e0,-2.258338e-1,-9.960161e0
2.234508e0,-1.173280e-1,7.857908e0
2.267859e0,2.980267e-1,-6.969515e0
2.301210e0,-5.819623e-1,-4.316108e1
2.334561e0,-2.579379e0,-4.415285e1
2.367912e0,-3.525486e0,-2.687179e1
2.401262e0,-4.370832e0,-2.549772e1
2.434613e0,-5.225334e0,-2.616074e1
2.467964e0,-6.114881e0,-2.211560e1
2.501315e0,-6.699707e0,-1.670587e1
2.534666e0,-7.228605e0,-2.282714e1
2.568017e0,-8.221516e0,-3.197981e1
2.601368e0,-9.360593e0,-3.962577e1
2.634719e0,-1.086323e1,-4.198748e1
2.668069e0,-1.215976e1,-3.294030e1
2.701420e0,-1.305925e1,-2.214832e1
2.734771e0,-1.363631e1,-1.240423e1
2.768122e0,-1.388620e1,5.112624e1
2.801473e0,-1.022790e1,1.076716e2
2.834824e0,-6.708095e0,6.927364e1
2.868175e0,-5.609654e0,3.731763e1
2.901525e0,-4.220253e0,5.542544e1
2.934876e0,-1.914625e0,8.253360e1
2.968227e0,1.281987e0,8.269895e1
3.001578e0,3.598638e0,3.863376e1
3.034929e0,3.857571e0,-2.801138e0
3.068280e0,3.411896e0,-8.885878e0
3.101631e0,3.265180e0,-2.524933e0
3.134982e0,3.243567e0,6.553242e0
3.168332e0,3.702062e0,9.122237e0
3.201683e0,3.851716e0,7.152434e-1
3.235034e0,3.749745e0,-4.999100e0
3.268385e0,3.518443e0,-9.135684e0
3.301736e0,3.140700e0,-2.781552e1
3.335087e0,1.664075e0,-6.733264e1
3.368438e0,-1.348143e0,-6.933222e1
3.401788e0,-2.958074e0,-2.938539e1
3.435139e0,-3.307169e0,-1.639971e1
3.468490e0,-4.051388e0,-2.417704e1
3.501841e0,-4.918972e0,-1.631113e1
3.535192e0,-5.138796e0,-1.170172e1
3.568543e0,-5.699086e0,-2.067771e1
3.601894e0,-6.517310e0,-2.001819e1
3.635245e0,-7.033632e0,-1.589267e1
3.668595e0,-7.576821e0,-1.103105e1
3.701946e0,-7.769035e0,-1.304305e1
3.735297e0,-8.446358e0,-2.548632e1
3.768648e0,-9.468123e0,3.313298e-1
3.801999e0,-8.424270e0,7.642119e1
3.835350e0,-4.373378e0,7.689854e1
3.868701e0,-3.297700e0,3.357726e1
3.902051e0,-2.134894e0,7.466043e1
3.935402e0,1.679662e0,1.327737e2
3.968753e0,6.716689e0,1.136064e2
4.002104e0,9.253423e0,2.823825e1
4.035455e0,8.599239e0,-3.087345e1
4.068806e0,7.195192e0,-3.635049e1
4.102157e0,6.175873e0,-2.644759e1
4.135508e0,5.432020e0,1.925374e1
4.168858e0,7.459456e0,2.392303e1
4.202209e0,7.026889e0,-1.783615e1
4.235560e0,6.270379e0,-9.038518e0
4.268911e0,6.424321e0,7.472154e0
4.302262e0,6.768522e0,-1.288366e1
4.335613e0,5.565410e0,-4.541962e1
4.368964e0,3.740547e0,-3.992245e1
4.402315e0,2.903914e0,-2.294331e1
4.435665e0,2.210993e0,-1.786753e1
4.469016e0,1.712745e0,-1.860054e1
4.502367e0,9.709574e-1,-2.654269e1
4.535718e0,-5.676741e-2,-2.881513e1
4.569069e0,-9.500510e-1,-2.607449e1
4.602420e0,-1.795067e0,-3.053325e1
4.635771e0,-2.985601e0,-3.211763e1
4.669121e0,-3.989772e0,-2.749105e1
4.702472e0,-4.864156e0,-2.567348e1
