t,x,y
0.000000e0,-7.933005e-1,-5.899857e-1
3.333333e-2,-7.844459e-1,-5.932767e-1
6.666667e-2,-7.843964e-1,-5.958134e-1
1.000000e-1,-7.757656e-1,-5.974143e-1
1.333333e-1,-7.890353e-1,-5.927660e-1
1.666667e-1,-7.714998e-1,-5.936475e-1
2.000000e-1,-7.649078e-1,-5.937249e-1
2.333333e-1,-7.691154e-1,-5.948356e-1
2.666667e-1,-8.594425e-1,-6.047431e-1
3.000000e-1,-9.041775e-1,-6.328712e-1
3.333333e-1,-9.530311e-1,-6.294414e-1
3.666667e-1,-1.014075e0,-6.448747e-1
4.000000e-1,-1.049943e0,-6.504249e-1
4.333333e-1,-1.080262e0,-6.427689e-1
4.666667e-1,-1.099192e0,-6.404803e-1
5.000000e-1,-1.080822e0,-6.261690e-1
5.333333e-1,-1.093555e0,-6.243469e-1
5.666667e-1,-1.125946e0,-6.470174e-1
6.000000e-1,-1.227776e0,-6.741386e-1
6.333333e-1,-1.445037e0,-7.081629e-1
6.666667e-1,-1.771399e0,-8.631489e-1
7.000000e-1,-2.092380e0,-9.385193e-1
7.333333e-1,-2.350621e0,-1.101897e0
7.666667e-1,4.883518e-1,-1.744631e0
8.000000e-1,3.753356e0,-1.820867e0
8.333333e-1,7.545606e0,-1.599341e0
8.666667e-1,1.129719e1,-1.359916e0
9.000000e-1,1.403942e1,-1.332724e0
9.333333e-1,1.614293e1,-1.266270e0
9.666667e-1,1.759408e1,-1.238348e0
1.000000e0,1.839258e1,-1.258046e0
1.033333e0,1.888495e1,-1.185101e0
1.066667e0,1.906549e1,-1.209624e0
1.100000e0,1.915803e1,-1.231929e0
1.133333e0,1.924356e1,-1.247995e0
1.166667e0,1.924509e1,-1.247430e0
1.200000e0,1.925746e1,-1.240480e0
1.233333e0,1.926452e1,-1.229678e0
1.266667e0,1.921586e1,-1.231741e0
1.300000e0,1.864006e1,-1.012156e0
1.333333e0,1.812173e1,-7.921501e-1
1.366667e0,1.782294e1,-8.946825e-1
1.400000e0,1.774222e1,-9.448368e-1
1.433333e0,1.774850e1,-9.431625e-1
1.466667e0,1.773499e1,-9.416727e-1
1.500000e0,1.773086e1,-9.423948e-1
1.533333e0,1.772243e1,-9.459544e-1
1.566667e0,1.772390e1,-9.461638e-1
1.600000e0,1.772543e1,-9.481061e-1
1.633333e0,1.769500e1,-9.524279e-1
1.666667e0,1.770037e1,-9.509146e-1
1.700000e0,1.770176e1,-9.545531e-1
1.733333e0,1.770342e1,-9.574638e-1
1.766667e0,1.921819e1,-1.310515e0
1.800000e0,2.259014e1,-1.646491e0
1.833333e0,2.620148e1,-1.485192e0
1.866667e0,3.026708e1,-1.295792e0
1.900000e0,3.356416e1,-1.019592e0
1.933333e0,3.581313e1,-8.986197e-1
1.966667e0,3.769877e1,-9.094863e-1
2.000000e0,3.873303e1,-9.044250e-1
2.033333e0,3.927866e1,-9.087854e-1
2.066667e0,3.967328e1,-9.219577e-1
2.100000e0,3.976627e1,-9.011757e-1
2.133333e0,3.977773e1,-8.812786e-1
2.166667e0,3.981252e1,-9.043207e-1
2.200000e0,3.984927e1,-8.810312e-1
2.233333e0,3.995755e1,-9.006878e-1
2.266667e0,3.996146e1,-9.069138e-1
2.300000e0,3.948179e1,-7.613159e-1
2.333333e0,3.898207e1,-4.806241e-1
2.366667e0,3.885054e1,-4.103442e-1
2.400000e0,3.888514e1,-4.131748e-1
2.433333e0,3.890774e1,-4.211734e-1
2.466667e0,3.892874e1,-4.211316e-1
2.500000e0,3.892988e1,-4.345064e-1
2.533333e0,3.893974e1,-4.343226e-1
2.566667e0,3.893014e1,-4.507055e-1
2.600000e0,3.893481e1,-4.443213e-1
2.633333e0,3.893466e1,-4.557432e-1
2.666667e0,3.893387e1,-4.533354e-1
2.700000e0,3.893979e1,-4.505170e-1
2.733333e0,3.894231e1,-4.462152e-1
2.766667e0,3.911188e1,-4.702067e-1
2.800000e0,4.272067e1,-1.061905e0
2.833333e0,4.626577e1,-1.068859e0
2.866667e0,5.022662e1,-7.440671e-1
2.900000e0,5.385630e1,-4.559824e-1
2.933333e0,5.646536e1,-3.339055e-1
2.966667e0,5.846552e1,-3.544201e-1
3.000000e0,5.979479e1,-3.909319e-1
3.033333e0,6.052830e1,-3.152413e-1
3.066667e0,6.097217e1,-3.509312e-1
3.100000e0,6.110262e1,-3.601368e-1
3.133333e0,6.108057e1,-3.517932e-1
3.166667e0,6.113476e1,-3.473938e-1
3.200000e0,6.130418e1,-3.657466e-1
3.233333e0,6.129280e1,-3.697236e-1
3.266667e0,6.129700e1,-3.707883e-1
3.300000e0,6.118245e1,-3.682947e-1
3.333333e0,6.052688e1,6.872865e-2
3.366667e0,6.027645e1,2.005170e-1
3.400000e0,6.031603e1,1.459653e-1
3.433333e0,6.027106e1,1.834680e-1
3.466667e0,6.028206e1,1.652937e-1
3.500000e0,6.027838e1,1.623792e-1
3.533333e0,6.027116e1,1.550866e-1
3.566667e0,6.027409e1,1.539341e-1
3.600000e0,6.028545e1,1.501106e-1
3.633333e0,6.028190e1,1.471332e-1
3.666667e0,6.028141e1,1.493119e-1
3.700000e0,6.027807e1,1.471198e-1
3.733333e0,6.027722e1,1.428472e-1
3.766667e0,6.027673e1,1.455247e-1
3.800000e0,6.289425e1,-5.595783e-1
3.833333e0,6.620873e1,-7.823927e-1
3.866667e0,6.983353e1,-6.008593e-1
3.900000e0,7.399879e1,-4.296252e-1
3.933333e0,7.686184e1,-2.410717e-1
3.966667e0,7.902308e1,-2.090480e-1
4.000000e0,8.070157e1,-1.763414e-1
4.033333e0,8.163952e1,-1.772229e-1
4.066667e0,8.216525e1,-1.395401e-1
4.100000e0,8.235190e1,-1.387962e-1
4.133333e0,8.249655e1,-1.310531e-1
4.166667e0,8.265632e1,-1.422077e-1
4.200000e0,8.270832e1,-1.419804e-1
4.233333e0,8.273855e1,-1.455019e-1
4.266667e0,8.275852e1,-1.456275e-1
4.300000e0,8.272185e1,-1.438032e-1
4.333333e0,8.217962e1,8.505201e-2
4.366667e0,8.137736e1,6.309513e-1
4.400000e0,8.113326e1,7.908141e-1
4.433333e0,8.104736e1,7.405006e-1
4.466667e0,8.103475e1,7.211753e-1
4.500000e0,8.102337e1,7.169662e-1
4.533333e0,8.103431e1,7.127022e-1
4.566667e0,8.103221e1,7.089422e-1
4.600000e0,8.102307e1,7.110371e-1
4.633333e0,8.102390e1,7.099929e-1
4.666667e0,8.102309e1,7.098510e-1
4.700000e0,8.101902e1,7.096605e-1
4.733333e0,8.101694e1,7.106480e-1
4.766667e0,8.100486e1,7.106819e-1
4.800000e0,8.204459e1,6.227414e-1
4.833333e0,8.544314e1,-1.843228e-1
4.866667e0,8.920124e1,-2.712167e-1
4.900000e0,9.342860e1,-1.410591e-1
4.933333e0,9.666175e1,5.155884e-2
4.966667e0,9.914657e1,-4.445731e-2
5.000000e0,1.011018e2,-4.686240e-2
5.033333e0,1.021190e2,-6.874552e-2
5.066667e0,1.028013e2,-7.660481e-2
5.100000e0,1.031123e2,-9.599725e-2
5.133333e0,1.032535e2,-6.313420e-2
5.166667e0,1.033618e2,-6.987577e-2
5.200000e0,1.033692e2,-5.425926e-2
5.233333e0,1.033649e2,-4.636599e-2
5.266667e0,1.033632e2,-5.657366e-2
5.300000e0,1.033191e2,-5.932826e-2
5.333333e0,1.031696e2,-1.714855e-2
5.366667e0,1.021343e2,6.523301e-1
5.400000e0,1.012521e2,1.142624e0
5.433333e0,1.008674e2,9.391439e-1
5.466667e0,1.006569e2,9.693077e-1
5.500000e0,1.004726e2,9.646533e-1
5.533333e0,1.004082e2,9.603696e-1
5.566667e0,1.003417e2,9.534087e-1
5.600000e0,1.002365e2,9.321780e-1
5.633333e0,1.002337e2,8.391927e-1
5.666667e0,1.002423e2,8.308443e-1
5.700000e0,1.002518e2,8.293294e-1
5.733333e0,1.002464e2,8.275323e-1
5.766667e0,1.002597e2,8.259465e-1
5.800000e0,1.002701e2,8.304737e-1
5.833333e0,1.036834e2,-3.307452e-2
5.866667e0,1.072555e2,-4.048066e-1
5.900000e0,1.111740e2,-1.991818e-1
5.933333e0,1.148468e2,1.029079e-1
5.966667e0,1.177140e2,7.000103e-2
6.000000e0,1.197083e2,-6.655432e-2
6.033333e0,1.212034e2,-7.581329e-2
6.066667e0,1.218750e2,-6.962527e-2
6.100000e0,1.222738e2,-9.913945e-2
6.133333e0,1.226068e2,-1.177389e-1
6.166667e0,1.226572e2,-1.112167e-1
6.200000e0,1.226944e2,-1.269049e-1
6.233333e0,1.227299e2,-1.295755e-1
6.266667e0,1.227566e2,-1.183882e-1
6.300000e0,1.228087e2,-1.335995e-1
6.333333e0,1.227379e2,-1.210934e-1
6.366667e0,1.220179e2,2.855156e-1
6.400000e0,1.215624e2,6.217728e-1
6.433333e0,1.214606e2,5.904438e-1
6.466667e0,1.214845e2,5.968992e-1
6.500000e0,1.214973e2,5.948242e-1
6.533333e0,1.215022e2,6.038356e-1
6.566667e0,1.215007e2,6.126663e-1
6.600000e0,1.215124e2,6.025342e-1
6.633333e0,1.215173e2,5.941500e-1
6.666667e0,1.215186e2,5.968961e-1
6.700000e0,1.215131e2,6.085089e-1
6.733333e0,1.215141e2,6.058071e-1
6.766667e0,1.215130e2,6.052762e-1
6.800000e0,1.215118e2,6.065182e-1
6.833333e0,1.235074e2,3.564675e-2
6.866667e0,1.268865e2,-3.983955e-1
6.900000e0,1.308967e2,-2.997810e-1
6.933333e0,1.350750e2,-2.042986e-1
6.966667e0,1.379687e2,-2.575205e-1
7.000000e0,1.403592e2,-3.884932e-1
7.033333e0,1.421007e2,-3.752697e-1
7.066667e0,1.430143e2,-3.850568e-1
7.100000e0,1.435800e2,-4.051714e-1
7.133333e0,1.438991e2,-4.319825e-1
7.166667e0,1.440469e2,-4.333942e-1
7.200000e0,1.440969e2,-4.279450e-1
7.233333e0,1.441009e2,-4.219288e-1
7.266667e0,1.441405e2,-4.229586e-1
7.300000e0,1.442345e2,-4.271461e-1
7.333333e0,1.441910e2,-4.250518e-1
7.366667e0,1.436761e2,-2.255858e-1
7.400000e0,1.428432e2,3.218204e-1
7.433333e0,1.423969e2,3.658996e-1
7.466667e0,1.422736e2,3.530936e-1
7.500000e0,1.422729e2,3.636535e-1
7.533333e0,1.422789e2,3.810829e-1
7.566667e0,1.422783e2,3.834203e-1
7.600000e0,1.422797e2,3.876058e-1
7.633333e0,1.422834e2,3.960132e-1
7.666667e0,1.422766e2,3.929890e-1
7.700000e0,1.422767e2,3.938751e-1
7.733333e0,1.422789e2,3.865937e-1
7.766667e0,1.422766e2,3.893128e-1
7.800000e0,1.422802e2,3.862906e-1
7.833333e0,1.428844e2,3.009750e-1
7.866667e0,1.464312e2,-4.997569e-1
7.900000e0,1.503593e2,-7.097806e-1
7.933333e0,1.546990e2,-7.123003e-1
7.966667e0,1.580171e2,-5.917754e-1
8.000000e0,1.606499e2,-7.460293e-1
8.033333e0,1.626798e2,-8.264603e-1
8.066667e0,1.637986e2,-7.818663e-1
8.100000e0,1.646056e2,-7.997175e-1
8.133333e0,1.648566e2,-8.163591e-1
8.166667e0,1.650941e2,-8.277613e-1
8.200000e0,1.650949e2,-8.479991e-1
8.233333e0,1.651514e2,-8.801019e-1
8.266667e0,1.652470e2,-8.691736e-1
8.300000e0,1.652848e2,-8.679565e-1
8.333333e0,1.652858e2,-8.794307e-1
8.366667e0,1.650799e2,-8.325371e-1
8.400000e0,1.641714e2,-4.921691e-1
8.433333e0,1.633679e2,-2.730730e-1
8.466667e0,1.628012e2,-1.207467e-1
8.500000e0,1.624349e2,-7.569012e-2
8.533333e0,1.623563e2,-1.045364e-1
8.566667e0,1.622512e2,-1.611277e-1
8.600000e0,1.621768e2,-2.004697e-1
8.633333e0,1.621741e2,-2.179180e-1
8.666667e0,1.621680e2,-2.223613e-1
8.700000e0,1.621547e2,-2.363995e-1
8.733333e0,1.620120e2,-3.025997e-1
8.766667e0,1.618826e2,-3.030317e-1
8.800000e0,1.618434e2,-2.847529e-1
8.833333e0,1.618152e2,-2.824346e-1
8.866667e0,1.648350e2,-1.054563e0
8.900000e0,1.683256e2,-1.249654e0
8.933333e0,1.723507e2,-1.162355e0
8.966667e0,1.763032e2,-1.134801e0
9.000000e0,1.791285e2,-1.271964e0
9.033333e0,1.812690e2,-1.431289e0
9.066667e0,1.827882e2,-1.367008e0
9.100000e0,1.837106e2,-1.388008e0
9.133333e0,1.842657e2,-1.405050e0
9.166667e0,1.844312e2,-1.482554e0
9.200000e0,1.846472e2,-1.526881e0
9.233333e0,1.846951e2,-1.525101e0
9.266667e0,1.847413e2,-1.494387e0
9.300000e0,1.847751e2,-1.478420e0
9.333333e0,1.847763e2,-1.476367e0
9.366667e0,1.847585e2,-1.474994e0
9.400000e0,1.841958e2,-1.301237e0
9.433333e0,1.833285e2,-8.625222e-1
9.466667e0,1.830046e2,-8.983455e-1
9.500000e0,1.828404e2,-8.289076e-1
9.533333e0,1.828169e2,-8.768913e-1
9.566667e0,1.828054e2,-8.901313e-1
9.600000e0,1.827967e2,-9.021068e-1
9.633333e0,1.827894e2,-9.104970e-1
9.666667e0,1.827903e2,-9.392476e-1
9.700000e0,1.827877e2,-9.364631e-1
9.733333e0,1.827868e2,-9.263227e-1
9.766667e0,1.827891e2,-9.413547e-1
9.800000e0,1.827852e2,-9.386729e-1
9.833333e0,1.827816e2,-9.387158e-1
9.866667e0,1.843367e2,-1.307483e0
9.900000e0,1.881197e2,-1.789610e0
9.933333e0,1.922833e2,-1.964256e0
9.966667e0,1.966760e2,-2.028514e0
1.000000e1,1.996635e2,-2.158267e0
1.003333e1,2.022075e2,-2.230844e0
1.006667e1,2.041028e2,-2.264844e0
1.010000e1,2.051233e2,-2.349342e0
1.013333e1,2.057008e2,-2.378553e0
1.016667e1,2.061265e2,-2.371610e0
1.020000e1,2.061763e2,-2.390150e0
1.023333e1,2.061996e2,-2.392372e0
1.026667e1,2.062088e2,-2.405169e0
1.030000e1,2.062106e2,-2.426101e0
1.033333e1,2.062107e2,-2.425653e0
1.036667e1,2.061895e2,-2.428015e0
1.040000e1,2.058472e2,-2.374652e0
