t,x,vx
3.001614e-1,1.618684e0,0.000000e0
3.335127e-1,1.483539e0,-2.337578e1
3.668640e-1,6.029801e-2,-7.285899e1
4.002153e-1,-3.373727e0,-7.724720e1
4.335665e-1,-5.089515e0,-2.971122e1
4.669178e-1,-5.354475e0,-1.544104e1
5.002691e-1,-6.118918e0,-2.083312e1
5.336204e-1,-6.743350e0,-2.006388e1
5.669716e-1,-7.456509e0,-2.046137e1
6.003229e-1,-8.107441e0,-2.540725e1
6.336742e-1,-9.150326e0,-2.928471e1
6.670254e-1,-1.005976e1,-2.694167e1
7.003767e-1,-1.094644e1,-2.802062e1
7.337280e-1,-1.192780e1,-2.841944e1
7.670793e-1,-1.284107e1,-2.584690e1
8.004305e-1,-1.365092e1,4.442737e-1
8.337818e-1,-1.281145e1,8.335283e1
8.671331e-1,-8.094068e0,1.042230e2
9.004843e-1,-5.863246e0,4.237976e1
9.338356e-1,-5.268751e0,4.969035e1
9.671869e-1,-2.550557e0,1.060281e2
1.000538e0,1.799787e0,1.179546e2
1.033889e0,5.313084e0,6.488364e1
1.067241e0,6.125363e0,-1.581825e1
1.100592e0,4.258534e0,-5.290649e1
1.133943e0,2.598264e0,-2.049327e1
1.167295e0,2.892316e0,1.584099e1
1.200646e0,3.654330e0,2.468793e1
1.233997e0,4.538179e0,8.899233e0
1.267348e0,4.247612e0,-1.160882e1
1.300700e0,3.764257e0,-8.541102e0
1.334051e0,3.678205e0,-1.235067e1
1.367402e0,2.940879e0,-5.282215e1
1.400753e0,1.567286e-1,-7.342964e1
1.434105e0,-1.954430e0,-3.570650e1
1.467456e0,-2.223705e0,-1.619736e1
1.500807e0,-3.034254e0,-2.313434e1
1.534159e0,-3.765994e0,-2.199086e1
1.567510e0,-4.536963e0,-2.298233e1
1.600861e0,-5.336453e0,-2.805310e1
1.634212e0,-6.407169e0,-3.220613e1
1.667564e0,-7.483529e0,-3.052907e1
1.700915e0,-8.442440e0,-3.001670e1
1.734266e0,-9.484642e0,-2.888660e1
1.767617e0,-1.036821e1,-2.453891e1
1.800969e0,-1.112057e1,-1.641245e1
1.834320e0,-1.146238e1,5.787289e1
1.867671e0,-7.262377e0,1.143255e2
1.901023e0,-3.840679e0,6.621586e1
